,Average,Value,Weighted,Returns,--,Monthly,,,,,,,,,,,,,,,,,,,,,,,,,
Size,Small,Small,Small,Small,Small,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,Big,Big,Big,Big,Big,,,,,,
BE/ME,Low,2,3,4,High,Low,2,3,4,High,Low,2,3,4,High,Low,2,3,4,High,Low,2,3,4,High,,,,,,
193802,7.55,2.3,5.44,2.16,0.64,12.71,5.96,5.66,5.57,5.31,7.89,7.18,6.68,4.73,6.49,5.18,6.88,5.69,6.72,5,5.56,8.3,3.98,7.49,5.93,,,,,,
193803,-27.08,-31.66,-36.58,-33.7,-32.69,-32.52,-31.3,-26.4,-27.39,-31.31,-27.81,-27.42,-26.65,-21.82,-36.26,-23.21,-24.32,-23.7,-29.52,-32.44,-22.58,-23.77,-21.29,-27.19,-34.63,,,,,,
193804,31.5,23.56,27.11,23.93,21.4,23.54,20.58,20.14,19.65,18.57,20.42,17.79,18.39,11.29,26.73,17.3,15.26,16.28,19.78,17.93,12.32,15.39,13.72,16.51,12.74,,,,,,
193805,-11.85,-9.35,-9.99,-6.37,-6.33,-14.01,-7.05,-7.69,-6.42,-7.88,-8.08,-5.15,-6.49,-3.83,-4.8,-4.24,-3.5,-4.11,-7.9,-13.34,-3.4,-5.93,-1.69,-6.86,-3.82,,,,,,
193806,34.98,37.97,39.61,31.63,27.8,35.7,30.58,28.84,26.71,32.42,33.37,28.51,28.28,22.18,32.97,22.23,26.2,24.2,27.87,37.2,25.59,26.48,17.15,26.41,36.68,,,,,,
193807,23.55,7.62,21.99,18.15,14.83,11.32,16.15,16.06,14.7,13.61,11.52,14.78,9.92,12.54,14.52,9.34,13.06,13.05,11.07,14.76,8.07,4.45,6.44,5.57,13.09,,,,,,
193808,-9.37,-17.05,1.79,-6.53,-13.15,-5.46,-5.83,-6.26,-6.46,-8.41,-2.99,-4.21,-3.34,-5.63,-10.04,-3.57,-1.98,-5.65,-6.19,-7.66,0.21,-3.85,-5.56,-4.84,-6.08,,,,,,
193809,-15.53,3.86,-3.59,-3.96,-4.17,0.54,-4.19,-1.93,-1.15,-2.06,-0.9,-2.45,-2.38,-1.95,-1.96,-0.41,0.27,-1.75,-1.61,-3.6,1.18,1.74,0.19,0.8,-1.58,,,,,,
193810,12.23,28.05,13.19,16.44,13.64,10.33,21.62,12.56,15.13,21.65,13.09,13.21,12.48,13.7,18.65,12.07,11.04,11.34,12.42,24.2,6.57,4.89,5.73,14.66,12.32,,,,,,
193811,-7.81,-8.14,-0.37,-4.33,-7.07,-7.81,-7.35,-3.38,-2.43,-6.81,-1.67,-2.21,1.38,-4.09,-5.09,-0.14,-0.22,-2.89,-3.87,-3.83,-1.71,-0.42,-3.71,-2.88,-2.42,,,,,,
