,Average,Value,Weighted,Returns,--,Monthly,,,,,,,,,,,,,,,,,,,,,,,,,
Size,Small,Small,Small,Small,Small,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,Big,Big,Big,Big,Big,,,,,,
BE/ME,Low,2,3,4,High,Low,2,3,4,High,Low,2,3,4,High,Low,2,3,4,High,Low,2,3,4,High,,,,,,
194502,7.73,8.53,9.83,9.47,11.65,7.82,8.04,9.05,7.99,9.75,6.49,6.25,8.65,8.9,12.18,7.3,6.93,6.78,9.28,15.75,5.23,5.13,5.22,7.67,9.06,,,,,,
194503,-7.7,-9.24,-8.02,-8.66,-10.18,-4.16,-5.86,-5.4,-5.63,-2.68,-4.98,-6.53,-4.43,-5.89,-7.44,-3.95,-4.28,-3.94,-3.72,-6,-3.66,-2.75,-3.74,-4.92,-4.45,,,,,,
194504,3.97,8.95,10.66,6.52,9.5,6.3,6.94,8.68,9.15,15,8.38,11.75,6.41,9.01,10.67,7.37,9.04,6.92,10.63,13.6,7.38,6.09,7.35,9.04,10.84,,,,,,
194505,-3.96,10.23,2.85,2.9,5.78,2.53,1.74,1.73,5.05,4.93,1.57,0.64,2.26,3.22,4.14,1.54,0.89,2.05,1.72,4.19,1.87,2.1,0.73,-0.5,1.93,,,,,,
194506,18.03,4.49,3.75,7.52,13.68,9.61,0.34,0.12,2.72,7.19,2.03,2.3,1.67,2.24,5.5,-1.12,0.83,0.71,3.17,12.2,-2.22,0.14,1.42,0.7,3.16,,,,,,
194507,-6.55,-4,-4.92,-3.86,-3.48,-2.01,-2.72,-4.04,-4.08,-6.22,-3.94,-2.89,-3.11,-3.23,-8.09,-0.59,-4.53,-2.75,-4.09,-6.28,-1.48,-0.15,-2.89,-2.42,-4.66,,,,,,
194508,0.94,11.62,9,7.05,5,5.18,7.27,6.03,6.48,5.17,8.83,7.63,7.6,7.81,1.65,6.25,9.33,8.57,6.83,1.52,8.66,4.99,3.77,3.64,1.54,,,,,,
194509,4.4,6.65,3.38,7.4,7.47,6.16,7.07,6.9,7.27,7.42,5.77,6.35,7.06,7.22,5.45,4.49,7.14,6.12,6.29,10.32,5.12,2.48,4.27,2.81,7.07,,,,,,
194510,20.61,13.8,9.7,14.35,8.71,5.43,4.97,7.1,4.73,5.94,6.11,4.1,6.87,3.07,5.16,3.86,3.44,7.86,5.86,7.34,2.32,3.41,5.41,6.37,4.29,,,,,,
194511,8.65,10.79,13.01,11.61,12.94,13.06,8.21,11.08,12.61,8.32,7.37,11.28,7.31,9.15,8.71,7.59,10.24,6.94,12.59,18.95,2.16,4.22,5.28,4.63,8.79,,,,,,
194512,3.59,2.47,3.93,3.04,2.54,5.28,4.9,4.75,3.25,2.62,2.12,0.38,5.04,3.27,-0.6,1.91,1.3,2.91,1.9,1.39,1.28,1.05,1.11,-0.23,-1.49,,,,,,
194601,36.84,9.57,14.28,10.61,15.64,9.14,9.88,6.44,9.44,13.1,6.26,8.54,4.88,5.68,16.32,5.24,6.32,10.23,7.53,10.98,6.33,4.22,4.37,4.79,9.09,,,,,,
194602,-5.23,-9.03,-6.89,-3.85,-7.89,-5.25,-7.48,-6.15,-8.03,-6.61,-6.94,-6.64,-4.45,-8.42,-9.22,-5.33,-5.3,-7.01,-7.52,-6.41,-5.71,-4.59,-4.72,-6.47,-8.19,,,,,,
194603,-1.36,2.87,3.9,3.94,5.26,3.72,5.34,7.88,5.48,5.02,6.6,10.27,7.29,7.89,5.92,9,11.27,5.41,6.94,4.35,4.8,5.5,7.66,7.89,3.25,,,,,,
194604,5.49,10.86,14.04,7.98,6.91,5.15,7.35,9.25,3.83,7.35,3.24,3.94,5.43,8.44,2.93,6.84,5.32,5.73,3.66,3.06,3.78,3.63,6.15,4.76,1.11,,,,,,
194605,12.36,7.16,4.31,2.33,5.75,6.36,5.13,4.41,6.1,9.37,6.08,7.56,5.32,6.33,6.59,4.87,4.84,5.08,6.31,10.3,2.81,3.49,1.82,6.17,5.86,,,,,,
194606,-7.24,-5.95,-5.69,-3.73,-5.67,-7.43,-4.64,-4.74,-4.7,-5.56,-5.19,-6.08,-6.17,-5.28,-5.52,-5.23,-4.81,-7.26,-6.03,-5.23,-4.56,-2.1,-1.34,-4.98,-2.76,,,,,,
194607,-6.3,-6.65,-4.1,-2.72,-6.4,-3.42,-5.14,-4.49,-5.78,-5.21,-5.24,-3.3,-3.53,-2.2,-5.36,-3.88,-2.58,-2.75,-5.05,-6.14,-2.33,-3.38,-1.59,-1.16,-2.56,,,,,,
194608,-10.3,-8.29,-9.63,-7.95,-8.53,-6.72,-7.59,-9.41,-8.64,-8.53,-8.54,-8.02,-7.01,-6.68,-8.04,-7.01,-5.55,-8,-5.66,-8.8,-6.05,-5.88,-6.62,-4.6,-7.13,,,,,,
194609,-16.49,-17.11,-15.58,-14.99,-18.98,-12.55,-12.34,-13.73,-16.75,-16.88,-14.62,-12.03,-12.1,-11.69,-14.4,-11.62,-10.95,-13.98,-8.73,-16.14,-9,-9.19,-6.98,-7.79,-13.19,,,,,,
194610,-4.2,-4.32,-0.12,-1.35,0.3,-3.83,-2.73,0.11,-2.09,1.93,-0.07,-2.01,-2.63,-0.69,0.72,-3.75,-1.27,-2.19,-1.64,1.71,-2.46,-2.16,-3.07,0.8,0.59,,,,,,
194611,-4.26,-1.22,-1.14,-0.96,-0.08,-0.95,0.43,-1.26,0.15,0.76,-1.51,2.65,1.48,-0.86,0.77,1.26,0.54,-0.24,0.51,-0.53,-0.2,0.79,0.42,0.63,-0.36,,,,,,
194612,-0.43,7.21,2.12,4.45,3.81,3.81,7.59,3.47,7.11,3.94,5.43,5.54,5.94,5.2,3.72,6.01,6.61,6.77,3.1,2.88,5.76,6.15,3.88,4.7,3.9,,,,,,
194701,5.95,5.1,2.32,5.09,5.49,3.78,2.84,4.4,3.1,3.57,2.29,1.77,2.36,0.59,4.31,-0.4,-0.31,2.41,4.09,2.7,3.8,-2.05,0.74,-0.58,1.17,,,,,,
194702,1.97,-1.93,-1.21,1.02,0.09,-0.46,-0.91,2,-2.32,-0.34,-1.35,-1.57,-0.84,0,0.67,-1.52,-0.77,-0.99,-2.43,1.01,0.14,-0.74,-1.14,-2.03,-2.48,,,,,,
194703,-5.13,-4.67,-5.3,-4.54,-1.86,-3.34,-4.46,-3.43,-2.61,-2.52,-2.45,-2.58,-2.41,-2.36,-2.32,-0.5,-1.62,-2.58,-0.83,-3.25,-1.91,-1.68,-0.85,0.14,-2.32,,,,,,
194704,-11.26,-11.28,-9.29,-9.53,-10.13,-8.07,-7.26,-7.86,-9.75,-8.75,-8.67,-8.32,-7.62,-6.52,-6.59,-6.55,-6.02,-7.73,-8.46,-9.24,-4.63,-5.41,-2.65,-2.47,-3.77,,,,,,
194705,-8.09,-6.62,-6.07,-4.63,-5.77,-5.1,-4.84,-4.34,-4.34,-3.59,-4.66,-2.28,-1.74,-3.15,-2.63,-3.17,-4.15,-1.37,-4.26,-2.68,-0.56,-1.18,-0.57,1.76,-1.86,,,,,,
194706,9.73,4.84,5.59,3.87,6.54,3.69,4.39,7.33,6.46,3.85,4.12,5.64,5.85,5.15,3.7,7.43,6.39,5.49,4.69,8.22,6.27,6.81,1.56,6.15,4.44,,,,,,
194707,10.18,7.44,7.94,5.46,9.24,4.78,6.54,5.89,6.35,7.83,5.57,4.57,8.35,6.61,7.24,3.95,3.96,7.91,4.71,9.97,3.36,3.8,2.63,3.58,7.25,,,,,,
194708,-2.5,-4.54,-2.76,-1.56,-2.39,-2.11,-1,-1.82,-0.93,-1.35,0.24,-1.7,-2.11,-0.81,-0.88,-1.33,-1.21,-2.93,-2.19,-1.91,-1.81,-1.82,-1.44,-1.04,-2.97,,,,,,
194709,1.19,-0.57,0.34,-0.2,3.36,-0.64,1.22,0.89,0.61,3.28,0.97,-1.44,1.1,1.13,2.13,-0.78,-0.8,2.52,2.01,0.9,-0.47,-0.79,-1.39,-0.31,-0.58,,,,,,
194710,2.47,6.02,6.93,4.67,1.99,3.1,3.83,2.82,4.69,3.25,5.89,3.15,3.78,4.03,0.84,3.14,2.7,4.24,1.56,-0.11,1.72,4.34,2.45,2.51,3.6,,,,,,
194711,-4.78,-7.06,-4.29,-2.22,-1.75,-4.75,-3.24,-2.58,-3.92,-3.34,-3.32,-3.05,-2.69,-2.97,-1.97,-2.71,-2.5,-1.89,-1.85,-3.92,-1.53,-1.8,-1.35,-2.33,-1.47,,,,,,
194712,-3.49,4.2,-1.79,-0.21,5.08,-1.6,1.67,1.69,-0.57,5.9,0.75,4.8,0.59,2.52,3.09,4.54,2.99,1.09,0.16,3.55,1.46,3.82,3.69,4.79,7.5,,,,,,
194801,2.41,-0.47,-2.1,-1.61,0.9,-3.58,-1.56,-3.12,-1.04,0.08,-3.35,-4.23,-2.21,-4.29,-0.12,-3.14,-3.79,-3.3,0.85,0.25,-4.62,-4.35,-4.32,-3.29,-4.22,,,,,,
194802,-8.75,-7.15,-8.2,-6.56,-6.72,-6.98,-5.98,-7.16,-5.34,-7.26,-4.81,-7.65,-6.58,-6.49,-5.12,-5.42,-5.49,-3.07,-6.07,-6.65,-4.59,-4.78,-2.83,-4.05,-3.81,,,,,,
194803,14.41,8.56,9.6,9.64,11.51,5.35,6.61,9.06,10.01,12.62,6.63,7.07,11.85,10.82,12.05,8.98,8.23,8.27,10.18,13.23,7.39,10.65,6.26,8.63,10.54,,,,,,
194804,-0.39,6.37,1.42,4.8,5.35,4.77,1.6,0.53,5.54,5.29,2.54,2.36,2.67,2.57,3.83,5.01,3.72,6.91,1.53,7.11,1.9,2.96,4.82,3.94,7.79,,,,,,
194805,13.21,10.59,12.6,6.23,8.47,8.34,9.85,10.07,8.11,7.83,8.21,8.83,9.88,11.43,7.1,5.43,7.96,8.26,6.41,8.61,8.84,9.21,5.18,5.83,7.66,,,,,,
194806,-4.6,0.58,-3.26,-0.84,-0.36,-4.21,-0.98,-2.13,-1.51,4.08,-1.66,-0.84,-4.32,-2.11,-0.14,-1.2,-0.32,-2.01,-2.42,-0.43,-0.42,-0.74,1.38,0.16,2.87,,,,,,
194807,-6.37,-5.01,-7.26,-6.09,-4.72,-5.89,-4.03,-4.66,-4.96,-3.65,-4.21,-4.9,-5.19,-6.35,-6.27,-5.89,-4.69,-5.08,-5.29,-2.64,-5.2,-5.93,-3.7,-4.74,-5.34,,,,,,
194808,-4.79,-2.28,-0.01,-2.02,-0.91,-1.27,-0.51,-0.03,-0.67,-0.11,-1.11,1.6,0.95,-0.44,0.76,-0.06,-0.18,1.23,0.77,-0.55,1.1,-0.55,0.18,-0.64,1.33,,,,,,
194809,-3,-6.12,-3.81,-5.61,-5.76,-0.88,-2.8,-3.79,-4.26,-5.32,-3.48,-4.93,-4.13,-3.63,-5.77,-4.28,-2.71,-4.28,-4.59,-5.56,-2.38,-3.21,-0.91,-4.01,-2.82,,,,,,
194810,1.45,3.1,5.31,5.87,4.98,2.38,4.46,5.46,4.88,7.06,3.87,5.53,5.33,4.59,3.97,5.17,5.18,6.05,6.68,6.27,6.32,8.36,3.58,6.09,6.51,,,,,,
194811,-13.29,-10.63,-12.53,-12.15,-11.86,-9.12,-9.35,-9.14,-11.78,-12.69,-9.62,-8.98,-7.79,-10.54,-13.96,-8.64,-8.35,-9.48,-11.78,-14.76,-7.79,-9.44,-6.9,-12.31,-14.07,,,,,,
194812,6.57,-3.39,-1.99,-2.85,0.8,0.59,1.03,0.29,0.31,0.23,3.08,2.87,0.94,0.83,1.89,3.87,2.86,0.68,2.7,1.67,5.06,4.28,2.1,2.48,2.27,,,,,,
194901,-0.71,5.85,5.59,2.72,4.29,1.73,1.07,0.41,2.91,2.55,0.93,-0.64,0.93,0.12,0.5,1.27,1.49,3.16,0.37,2.37,0.73,-2.82,-0.35,1.14,1.77,,,,,,
194902,-5.81,-3.14,-4.93,-5.57,-3.57,-7.92,-4,-4.73,-4.91,-6.51,-2.42,-4.69,-2.16,-3.61,-5.93,-1.2,-2.28,-2.29,-3.65,-3.27,-2.84,-3.93,-1.2,-1.79,-5.62,,,,,,
194903,6.22,6.65,8.48,5.92,6.83,6.19,7.27,4.87,5.46,7.17,5.83,5.2,5.24,7.39,7.82,4.33,4.11,3.82,4.31,7.72,4.29,3.65,2.35,5.72,4.06,,,,,,
194904,-3.48,-3.52,-1.43,-3.62,-2.81,-3.3,-2.52,-3.93,-3.79,-3.28,-2.05,-2.42,-3.59,-4.92,-4.51,-2.02,-2.41,-2.78,-4.04,-4.33,-1.94,-0.27,-1.06,-0.37,-2.09,,,,,,
194905,-11.24,-7.04,-7.71,-6.46,-6.04,-2.94,-5.02,-1.82,-4.16,-6.61,-3.42,-2.5,-2.04,-3.85,-6.26,-1.8,-2.37,-1.71,-2.4,-4.65,-1.52,-3.32,-2.1,-5.57,-5.79,,,,,,
194906,-0.94,-3.15,-0.84,-0.08,-0.46,-3.09,-2.07,-0.95,0.05,-1.69,1.41,-2.68,-1.81,-0.91,-3.82,0.55,-0.36,0.51,-1.08,-1.4,1.44,0.22,0.74,-0.07,-3.17,,,,,,
194907,12.78,6.74,5.62,5.86,5.12,4.44,7.19,6.93,8.18,4.9,7.17,7.04,6.35,7.18,6.1,6.79,5.66,7.38,4.39,6.68,5.47,4.73,5.16,5.95,7.21,,,,,,
194908,2.95,3.89,1.94,3.1,1.81,1.09,3.26,2.88,2.12,1.35,3.96,1.46,3.97,1.37,3.3,2.26,2.5,2.59,0.28,4.72,2.77,2.69,3.57,2.61,2,,,,,,
194909,10.24,0.22,5.14,3.43,3.71,4.48,4.39,4.34,5.38,5.31,4.67,4.93,3.66,4.22,4.19,4.34,4.41,3.17,3.86,6.16,2.77,2.15,3.98,3.76,4.24,,,,,,
194910,9.06,4.52,6.56,6.81,4.35,6.14,4.85,2.38,4.59,2.38,3.42,4.01,2.35,3.87,5.39,2.82,2.11,4,0.62,1.93,3.49,3.03,2.66,3.36,2.06,,,,,,
194911,-8.64,1.91,-2.95,-0.61,0.07,-2.18,2.03,1.13,0.11,1.4,2.27,2.1,1.2,0.3,0.45,1.48,1.97,2.3,0.63,3.59,3.36,1.09,-0.11,0.83,2.13,,,,,,
194912,7.34,7.52,7.26,7.63,8.37,5.1,6.22,7.1,6.95,9.35,6.84,7.31,6.44,8.19,12.36,5.35,5.32,6.65,6.8,7.88,5.82,3.28,2.87,4.8,7.36,,,,,,
195001,14.15,2.3,6.95,4.41,6.56,10.21,5.57,4.24,2.45,4.43,3.75,5.53,3.48,2.22,6.02,0.37,2.19,2.75,2.92,8.43,0.79,0.77,2.32,1.45,5.64,,,,,,
195002,4.34,5.49,3.71,3.63,0.37,2.82,2.13,2.82,2.4,0.66,1.64,1.01,1.29,0.99,-0.29,1.14,2.26,1.74,0.57,2.29,1.82,0.8,1.27,1.19,1.39,,,,,,
195003,-2.1,0.38,3.77,-2.18,0.3,-0.99,2.48,-0.94,-1.24,-1.01,1.07,0.91,-0.07,-2.22,-1.91,2.55,0.75,-0.47,-1.07,-1.15,1.8,1.59,1.56,1.73,-0.23,,,,,,
195004,10.52,2.31,8.06,5.53,7.46,8.01,6.1,5.76,4.38,7.84,3.59,4.06,5.22,6.51,9.82,3.73,1.6,4.68,4.38,3.63,5.2,2.37,3.19,3.73,4.3,,,,,,
195005,-2.42,1.33,-0.6,3.68,3.05,1.6,2.32,3.65,4,2.77,1.49,1.14,3.22,4.76,1.82,4.75,2.4,4.04,3.26,1.91,4.74,5.21,5.03,5.51,2.16,,,,,,
195006,-14.17,-9.39,-10.73,-8.69,-10.29,-6.81,-7,-7.25,-9.48,-9.62,-6.52,-7.92,-5.51,-7.78,-8.17,-6.91,-8.3,-7.62,-5.88,-8.43,-5.55,-4.95,-5.98,-3.53,-7.2,,,,,,
195007,5.62,1.58,5.72,8.59,12.87,1.01,1.45,4.56,6.32,14.36,-1.87,-3.34,2.69,7.35,17.12,-1.46,0.66,5.37,7.44,16.15,-3.77,-0.68,6.79,12.58,12.83,,,,,,
195008,0.19,5.83,4.5,3.26,5.94,5.5,3.89,5.75,5.94,1.88,5.07,5.44,5.54,6,4.43,4.85,4.38,4.26,3.4,3.92,6.58,3.73,4.94,2.28,2.82,,,,,,
195009,5.65,7.3,2.77,4.4,3.37,5.56,5.89,4.57,5.93,6.29,5.65,6.85,6.55,5.17,5.76,6.02,6.36,5.76,4.56,9.06,5.23,4.23,4.28,4,3.16,,,,,,
195010,-4.2,-3.37,1.39,-0.82,0.06,2.53,0.48,0,-0.95,0.92,0.21,-1.82,-0.56,0.04,0.16,-1.19,-0.93,-1.93,0.28,-3.28,0.15,-0.25,-0.81,-0.79,4.62,,,,,,
195011,-1.05,1.71,0.93,2.05,5.32,0.17,0.77,2.03,2.65,8.53,0.95,1.63,2.43,2.94,7.75,2.97,3.24,2.92,5.05,8.31,2.54,1.8,4.19,4.45,2.45,,,,,,
195012,8.49,8.92,10.91,12.86,13.95,9.48,5.94,10.43,8.64,14.91,3.08,3.26,6.18,8.28,15.42,4.54,3.92,8.91,9.93,12.75,3.12,5.06,5.95,9.48,10.42,,,,,,
195101,8.81,8.75,8.62,6.82,11.18,5.23,8.4,5.89,8.66,9.58,6.97,7.56,6.53,9.63,9.31,6.61,7.56,6.74,6.67,9.27,4.6,3.91,6.98,5.4,10.23,,,,,,
195102,1.15,0.79,-0.75,1.24,0.27,2.03,0.72,2.28,-0.29,0.92,1.96,2.26,2.36,-0.68,-0.43,1.2,0.89,2.74,1.5,1.56,2.62,1.76,2.29,-0.22,-2.73,,,,,,
195103,1.33,-5.07,-4.36,-5.08,-6.84,-2.25,-1.32,-3.29,-5.67,-4.97,-1.52,-0.65,-4.74,-4.78,-5.9,-1.58,-1.85,-3.84,-6.17,-5.66,-0.52,-1.33,-2.86,-3.66,-4.87,,,,,,
195104,1.79,3.35,5.31,2.99,5.23,3.43,3.22,3.66,5.73,5.04,0.67,3.23,4.05,5.66,7.32,4.61,4.84,3.88,5.08,5.33,4.52,2.94,9.1,6.03,7.82,,,,,,
195105,-4.48,-2.62,-3.42,-4.45,-3.69,-2.33,-2.48,-1.87,-3.07,-4.86,-2.35,-2.15,-2.49,-2.89,-1.33,-1.98,-1.82,-1.43,-2.84,-3.67,-2.31,-1.7,-2.19,-2.03,-4.74,,,,,,
195106,-3.95,-7.63,-6.62,-4.52,-7.17,-4.45,-3.95,-5.64,-5.78,-7.31,-4.42,-3.63,-4.5,-6.36,-10.73,-2.78,-2.74,-4.46,-5.24,-7.98,-1.96,-2,2.01,-3.83,-6.66,,,,,,
195107,3.58,4.04,3.34,4.6,4.2,5.17,6.51,4.41,7.6,7.13,3.64,6.13,5.58,7.1,6.99,8.75,5.84,6.31,8.54,10.32,6.84,5.71,6.97,9.04,10.94,,,,,,
195108,11.78,12,4.83,5.95,5.22,3.93,5.62,3.37,6.88,3.6,4.31,5.93,5.09,4.57,4.87,3.04,4.8,3.76,5.36,1.5,3.76,5.57,4.58,5.49,3.87,,,,,,
195109,4.19,2.21,2.75,2.36,1.82,2.96,3.9,2.94,2.07,4.53,0.05,1.55,1.94,2.99,3.66,1.25,2.16,2.49,3.21,4.39,0.44,0.8,-0.43,-0.13,2.83,,,,,,
195110,-5.06,-0.53,-2.82,-3.09,-1.67,-2.29,-2.84,-2.05,-3.27,-4.23,-1.97,-2.12,-1.49,-2.05,-4.17,-2.83,-2.56,-2.79,-0.71,-3.77,-4.16,-2.63,0.55,-0.07,-4.05,,,,,,
195111,-0.47,-0.96,-0.53,-0.24,-1.2,0.4,-0.55,0.36,0.53,1.41,1.23,2.04,1.74,0.66,0.26,0.54,2.38,2.65,1.18,1.89,0.56,1.39,0.04,-0.56,3.33,,,,,,
195112,-1.28,-0.15,1.1,0.78,0.26,2.65,0.52,0.93,1.25,0.48,0.99,1.49,0.86,-0.06,0.41,2.82,3.04,1.83,0.11,1.87,4.83,2.85,4.54,1.96,1.03,,,,,,
195201,1.41,1.47,1.28,1.79,1.88,2.1,1.72,1.32,2.39,1.02,1.58,1.69,1.16,1.31,2.18,2.17,1.46,1.32,2.65,0.98,-0.31,2.22,2.73,5.46,3.22,,,,,,
195202,-4.82,-3.11,-2.14,-3.07,-2.92,-1.75,-2,-2.48,-2.23,-1.82,-1.9,-1.04,-1.91,-2.35,-1.85,-0.9,-1.4,-2.97,-2.13,-1.46,-2.24,-2.41,-3.44,-3.23,-2.59,,,,,,
195203,2.69,1.2,1.51,2.38,2.42,0.93,2.15,1.18,2.96,5.29,2.81,1.92,2.22,2.75,4.53,3.07,2.5,3.22,3.74,7.94,4.57,5.72,4.29,6.68,7.69,,,,,,
195204,-5.18,-6.13,-4.46,-3.75,-5.08,-4.55,-5.35,-3.94,-5.71,-3.78,-3.6,-4.56,-4.29,-4.7,-2.94,-5.89,-4.38,-4.17,-6.27,-2.89,-4.74,-4.04,-4.66,-6.93,-5.74,,,,,,
195205,-7.91,1.72,2.4,1.6,1.55,1.9,2.75,3.38,2.14,2.51,2.61,2.63,1.67,2.47,3.87,3.05,2.2,3.46,2.58,2.91,4.19,2.94,2.68,3.73,3.3,,,,,,
195206,3.04,4.99,2.1,2.43,3.42,2.79,1.34,2,3.34,4.08,0.96,3.12,2.63,4.11,3.5,3.18,4.23,2.54,3.87,3.81,3.97,4.45,4.38,3.28,6.81,,,,,,
195207,1.99,2.76,2.14,0.81,0.77,1.85,-0.32,1.6,1.48,-0.59,1.62,1,1.82,1.14,0.24,0.92,1.13,1.85,1.23,1.45,1.02,1.62,-0.12,3.14,1.36,,,,,,
195208,-4.57,-0.17,0.3,0.15,-0.11,-0.04,-0.03,0.93,1.38,0.05,0.79,1.14,1.76,-0.48,-1.91,-0.3,0.93,-0.26,-0.23,-0.04,-0.82,-1.08,-0.11,-1.58,-1.44,,,,,,
195209,-1.25,-0.33,-0.23,-2.29,-0.89,-1.68,-1.96,-0.38,-1.9,-1.74,0.48,-1.14,-0.99,-2.88,-2.8,-2.62,-0.36,-1.2,-1.14,-2.63,-1.86,-1.71,-1.97,-2.84,-2.19,,,,,,
195210,-1.58,-2.6,0.08,-1.19,-1.22,-2.34,-0.89,-2.01,-1.09,-2.65,-0.42,-0.34,-1.43,-1.73,-0.66,-0.09,-1.31,-2.16,-1.28,1.28,-0.78,0.14,-0.05,-0.79,-0.04,,,,,,
195211,0.72,8.38,3.24,4.32,4.52,6.53,3.72,4.87,6.57,5.98,5.31,7.29,5.45,6.08,6.22,4.45,5.82,5.83,6.03,6.91,6.39,6.12,4.5,7.39,8.39,,,,,,
195212,1.34,-1.46,0.45,0.8,1.68,2.04,2.94,4.03,2.8,2.44,1.04,1.61,2.57,1.06,2.97,2.38,2.13,1.88,2.42,4.67,3.21,3.44,3.19,2.93,4.48,,,,,,
195301,3.08,4.97,4.23,4.11,4,4.07,3.04,3.13,3.51,4.11,3.11,0.9,3.02,3.19,1.68,-0.1,0.92,3.49,2.44,2.17,-1,-0.87,-0.7,1.18,0.75,,,,,,
195302,8.85,3.38,5.23,2.63,2.34,1.84,-0.06,1.96,1.32,1.56,1.31,1.97,1.12,0.74,0,1.4,0.11,0.51,1.98,-1.09,-0.66,0.3,-0.15,-0.97,-1.46,,,,,,
195303,-11.97,-3.35,-1.84,-1.15,-1.37,-2.7,-0.54,-1.29,-1.96,-2.14,0.33,-0.47,-1.59,-1.23,-1.89,-1.37,-0.33,-2.19,-2.42,-1.5,-1.22,-1.41,-0.96,-3.04,-3.09,,,,,,
195304,0.03,-4.67,-1.54,-1.77,-1.88,-3.1,-3.46,-1.38,-0.52,-1.64,-3.15,-1.63,-2.02,-2.07,-1.76,-1.68,-3.02,-1.95,-2.1,-2.34,-3.1,-2.9,-2.28,-2.13,-1.53,,,,,,
195305,4.89,-1.49,1.76,0.23,1.52,0.11,1.16,2.05,-0.39,0.76,0.35,-0.21,0.36,0.94,1.15,-0.15,-0.28,1.06,1.01,4.08,1.26,-0.05,0.61,-0.39,2.02,,,,,,
195306,-6.5,-5.6,-5.26,-3.52,-4.57,-3.13,-3.91,-2.5,-3.19,-5.05,-2.21,-3.42,-2.66,-4.15,-2.95,-2.48,-3.13,-3.41,-4.29,-1.72,-1.54,-1.81,-0.14,-1.79,-1.34,,,,,,
195307,-0.25,-0.4,2.18,1.16,2.42,-0.59,1.51,1.69,1.08,1.32,1.58,1.03,1.79,2.46,2.09,2.05,1.34,1.73,0.64,0.94,2.85,3.1,2.76,1.83,1.53,,,,,,
195308,-8.82,-6.42,-7.28,-5.8,-5.29,-3.36,-4.21,-4.85,-6.13,-6.52,-3.66,-2.11,-5.51,-6.06,-8.51,-3.99,-3.93,-3.97,-6.86,-8.89,-3.58,-3.85,-5.06,-6.36,-9.58,,,,,,
195309,-1.9,-5.09,-0.85,-1.69,-3.54,2.46,-1.08,-0.73,-1.05,-2.07,0.99,-0.86,-0.2,-2.22,-3.21,0.24,0.27,0.14,-1.92,-2.77,1.16,0.88,-1.08,-0.78,-1.62,,,,,,
195310,-0.42,2.48,3.6,1.47,2.6,0.74,3.43,3.56,2.61,3.94,3.57,4.51,3.86,5.61,3.63,4.37,4.42,5.23,4.35,3.3,5.15,4.03,5.74,5.7,3.56,,,,,,
195311,0.13,6.02,1.75,1.19,1.67,1.9,2.57,2.68,0.66,1.49,2.93,2.11,1.62,1.26,1.95,2.61,2.85,3.66,2.27,4.3,3.93,2.12,1.77,2.58,2.43,,,,,,
195312,-4.3,-4.43,-1.34,-2.1,-3.46,-1.03,-1.24,-0.74,-1.91,-4.03,0.45,-0.25,-1.13,-1.72,-2.68,0.57,-0.13,0.23,-1.6,-4.4,0.85,0.38,0.9,-0.89,-4.85,,,,,,
195401,11.08,7.37,4.33,7.73,8.76,4.38,5.61,5.99,6.76,9.58,5.84,7.38,6.73,7.1,8.22,5.01,5.38,7.27,5.62,8.36,3.61,5.18,7.57,8.73,7.98,,,,,,
195402,0.08,3.37,0.27,0.43,0.06,2.45,-0.28,2.6,2.59,-0.21,1.03,2.69,1.72,2.02,0.84,2.53,1.56,2.97,2.03,0.59,1.64,1.9,1.99,-0.28,2.36,,,,,,
195403,3.03,3.52,3.15,2.82,2.35,2.82,2.69,2.87,3.29,2.09,4.45,1.1,4.39,2.85,0.4,4.47,3.36,5.11,2.6,3.16,4.4,3.36,4.63,1.45,0.68,,,,,,
195404,-5.26,3.41,2.78,1.34,-0.33,-1.47,0.12,2.05,0.5,0.02,2.43,2.84,3.05,2.17,-0.72,1.37,3.57,2.66,-1.38,0.02,5.58,4.25,5.69,5.96,1.38,,,,,,
195405,0.25,7.26,4.41,4.48,4.32,2.67,3.78,4.62,4.67,4.04,2.64,3.3,1.96,5.02,6.98,3.83,3.07,4.55,6.51,6.78,2.73,2.33,2.27,6.7,7.44,,,,,,
195406,-4.26,0.35,1.06,0.97,2.15,1.19,-0.99,2.68,1.57,2.48,1.81,0.95,1.95,2.4,1.55,1.05,2.6,2.57,2.11,-0.08,2.98,-0.84,-2.52,1.5,-0.75,,,,,,
195407,3.38,7.99,3.86,9.57,14.82,4.11,6.57,7.21,6.89,8.48,4.81,7.18,6.7,6.79,6.65,5.6,6.74,7.48,5.95,8.22,3.73,4.97,4.98,7.21,8.79,,,,,,
195408,2,-2.73,-0.02,-0.16,-0.13,-2.54,1.98,0.89,0.54,-0.4,0.46,-1.76,-1.36,-1.3,-1.37,-1.68,-1.35,-1.05,-1.36,-3.05,-3.36,-1.22,-1.42,-4.55,-5.04,,,,,,
195409,0.22,5.64,3.04,4.24,3.86,4.71,4.02,4.56,4.3,4.92,1.44,2.7,6.31,4.19,5.16,4.01,4.86,6.39,6.25,4.23,7.38,6.1,9.43,7.34,3.49,,,,,,
